iter	RMSE
139	116.1262295
140	115.4667294
141	114.7700187
142	114.1864734
143	113.490951
144	112.8068304
145	112.0177146
146	111.4317963
147	110.951123
148	110.384014
149	109.909588
150	109.3443743
151	108.8303917
152	108.462036
153	107.94848
154	107.5886485
155	107.0116868
156	106.6246978
157	106.2023392
158	105.8428059
159	105.470813
160	105.0329837
161	104.6732815
162	104.3920367
163	104.1354945
164	103.6835507
165	103.3153497
166	102.8865369
167	102.5139736
168	102.1990267
169	101.7715786
170	101.4442039
171	101.202485
172	100.9562537
173	100.7463671
174	100.3977913
175	100.0376237
176	99.78742014
177	99.49445949
178	99.16974445
179	98.88973764
180	98.73402544
181	98.50963624
182	98.28031977
183	98.06937678
184	97.75956409
185	97.39998573
186	97.19836371
187	96.94577352
188	96.64934366
189	96.45181126
190	96.02041693
191	95.57421794
192	95.34681445
193	95.11448237
194	94.89550361
195	94.71513416
196	94.50830211
197	94.17705037
198	94.01759761
199	93.88793419
200	93.76749757
201	93.60480369
202	93.33208455
203	92.89174721
204	92.57284394
205	92.27971787
206	92.02164717
207	91.80428387
208	91.66222983
209	91.2867084
210	90.93982604
211	90.66690883
212	90.52423346
213	90.20556294
214	89.94964512
215	89.70689743
216	89.5332816
217	89.18976596
218	88.9725332
219	88.73824781
220	88.60230112
221	88.28040181
222	88.12308419
223	87.9748354
224	87.85689361
225	87.6685494
226	87.53133849
227	87.3797623
228	87.0979816
229	86.92930724
230	86.71248854
231	86.40117048
232	86.20497914
233	85.92210645
234	85.81510628
235	85.50329809
236	85.32125669
237	85.02556178
238	84.90220984
239	84.76723015
240	84.56429043
241	84.32272983
242	84.18768176
243	84.05822654
244	83.85697234
245	83.63150099
246	83.52093454
247	83.40446239
248	83.31587881
249	83.13121536
250	82.79293515
251	82.5556904
252	82.31692743
253	82.02365167
254	81.8923693
255	81.70908758
256	81.58638163
257	81.28088803
258	81.09763666
259	80.82089329
260	80.64950472
261	80.53495146
262	80.24538476
263	80.10529402
264	79.96864373
265	79.81350906
266	79.66076666
267	79.44192197
268	79.31656636
269	79.10300856
270	78.94858537
271	78.71516088
272	78.50738315
273	78.3626337
274	78.10859557
275	77.86609593
276	77.76454302
277	77.54897329
278	77.36091073
279	77.17694827
280	76.96829341
281	76.88029237
282	76.62068766
283	76.38401265
284	76.23060662
285	76.05136255
286	75.91821807
287	75.8086494
288	75.6468706
289	75.44056471
290	75.33980809
291	75.14012322
292	74.96980488
293	74.87027599
294	74.79337129
295	74.67729306
296	74.49895339
297	74.15540834
298	74.0341817
299	73.88115093
300	73.63486182
301	73.45166184
302	73.30183662
303	73.173259
304	73.02509475
305	72.93824424
306	72.63991343
307	72.52167233
308	72.2896533
309	72.10251595
310	72.02537495
311	71.86885453
312	71.73096686
313	71.63765412
314	71.568839
315	71.35582865
316	71.2694538
317	71.09754116
318	70.97510056
319	70.78276011
320	70.67051163
321	70.53920094
322	70.36604677
323	70.2523465
324	70.12955421
325	70.04401855
326	69.93071806
327	69.71283282
328	69.54487987
329	69.37164092
330	69.21196371
331	68.87823368
332	68.55974693
333	68.48453004
334	68.34210459
335	68.24643561
336	68.14789548
337	68.00792914
338	67.93577765
339	67.83735912
340	67.62855862
341	67.43135387
342	67.33399293
343	67.23350287
344	67.01334635
345	66.8906064
346	66.71096541
347	66.57316142
348	66.48480538
349	66.33002929
350	66.23875922
351	66.08811682
352	66.00842511
353	65.84124684
354	65.68033104
355	65.61747821
356	65.51095626
357	65.44406752
358	65.36030877
359	65.25990374
360	65.14399054
361	64.96885327
362	64.8719357
363	64.69412208
364	64.63860289
365	64.47153117
366	64.29518829
367	64.22749796
368	64.07039966
369	63.93215139
370	63.81993261
371	63.76067673
372	63.67924945
373	63.57961698
374	63.40346452
375	63.3675954
376	63.22503929
377	63.10825051
378	62.97180524
379	62.83400386
380	62.75395654
381	62.66740986
382	62.53995711
383	62.4598225
384	62.30569889
385	62.20918112
386	62.08830505
387	61.93897949
388	61.84709159
389	61.78374017
390	61.57406537
391	61.44400907
392	61.30224
393	61.17059502
394	61.13181592
395	61.04534791
396	60.93766387
397	60.68907724
398	60.52478468
399	60.48759096
400	60.40141271
401	60.30756936
402	60.17994588
403	60.09365201
404	60.02920648
405	59.9492793
406	59.83059292
407	59.71284354
408	59.45117573
409	59.37767876
410	59.32727268
411	59.19611441
412	59.08907091
413	58.96609996
414	58.75278885
415	58.69467139
416	58.62673713
417	58.43397123
418	58.31333999
419	58.27908574
420	58.18538264
421	58.07333516
422	57.98928553
423	57.92605754
424	57.8158785
425	57.72264
426	57.6354373
427	57.41450493
428	57.27730034
429	57.18584872
430	57.06426985
431	57.00448427
432	56.88795539
433	56.83991073
434	56.76907344
435	56.58748929
436	56.45840873
437	56.36516207
438	56.30612197
439	56.22574615
440	56.11667743
441	56.00352638
442	55.8931299
443	55.84417548
444	55.64634877
445	55.52014429
446	55.46658596
447	55.36624984
448	55.28172471
449	55.17925016
450	55.14574777
451	55.11274556
452	55.02395409
453	54.92295391
454	54.82931813
455	54.74976804
456	54.68557847
457	54.51547095
458	54.4043191
459	54.33845764
460	54.26199591
461	54.19265753
462	54.09716975
463	54.03519841
464	53.9621437
465	53.88569507
466	53.83696211
467	53.77814817
468	53.71671344
469	53.58869209
470	53.53320443
471	53.48088213
472	53.41302431
473	53.33269704
474	53.2452289
475	53.15020153
476	53.07604867
477	52.96647546
478	52.9208978
479	52.8137109
480	52.72760784
481	52.67531029
482	52.56080235
483	52.51285477
484	52.44591539
485	52.38512796
486	52.32184673
487	52.22487278
488	52.13920855
489	52.05442282
490	52.02832442
491	51.99111041
492	51.94545567
493	51.7821386
494	51.72233385
495	51.64628253
496	51.62159917
497	51.55277644
498	51.46479547
499	51.41844666
500	51.32746627
501	51.27193705
502	51.24534569
503	51.17255701
504	51.09250428
505	51.01316377
506	50.95766538
507	50.89717745
508	50.75172793
509	50.67415101
510	50.61640896
511	50.53510227
512	50.45777482
513	50.31424407
514	50.27390595
515	50.2025364
516	50.16295874
517	50.10330062
518	50.04129313
519	49.91920515
520	49.86436154
521	49.78796593
522	49.71057584
523	49.65916075
524	49.63662288
525	49.56717076
526	49.45356015
527	49.43318108
528	49.36162961
529	49.31454757
530	49.2490868
531	49.22535081
532	49.15583248
533	49.08309049
534	49.01616125
535	48.94951485
536	48.88052285
537	48.75895582
538	48.70444299
539	48.68350571
540	48.61461325
541	48.56652136
542	48.49388266
543	48.43903958
544	48.39028056
545	48.33789024
546	48.274629
547	48.21550134
548	48.15195484
549	48.08930554
550	48.01207051
551	47.99529938
552	47.95413627
553	47.89375137
554	47.82494751
555	47.7176334
556	47.6520603
557	47.59426706
558	47.48183535
559	47.40829646
560	47.3517229
561	47.30443507
562	47.21699064
563	47.17694142
564	47.09421313
565	47.03401058
566	46.98353685
567	46.89593883
568	46.81572576
569	46.74948049
570	46.71446897
571	46.67873423
572	46.61179961
573	46.58171167
574	46.52364757
575	46.48106161
576	46.44197488
577	46.39087742
578	46.31448618
579	46.29283511
580	46.27617032
581	46.16856146
582	46.12468368
583	46.07954292
584	46.02779024
585	45.98131991
586	45.87653473
587	45.81372348
588	45.71950291
589	45.70160839
590	45.63681402
591	45.56026785
592	45.44862058
593	45.4228872
594	45.36278258
595	45.32428565
596	45.28019415
597	45.18973935
598	45.14474479
599	45.09409309
600	45.0213672
601	44.97175709
602	44.9410986
603	44.87694136
604	44.81482205
605	44.74807654
606	44.66744998
607	44.59033088
608	44.54881744
609	44.50873842
610	44.48966637
611	44.45292269
612	44.40188179
613	44.34178129
614	44.29993121
615	44.27537022
616	44.20182184
617	44.13869132
618	44.08923813
619	44.02022544
620	43.95473928
621	43.90338576
622	43.87384996
623	43.85981905
624	43.82552644
625	43.78845299
626	43.74595263
627	43.70582793
628	43.66420055
629	43.62127984
630	43.5676854
631	43.52237049
632	43.46687478
633	43.42666968
634	43.35246973
635	43.32517747
636	43.27020554
637	43.2306353
638	43.16851192
639	43.14334041
640	43.10618169
641	43.06214479
642	43.02907479
643	42.99987178
644	42.94789654
645	42.93121279
646	42.85726325
647	42.80419647
648	42.74008428
649	42.69240373
650	42.6610524
651	42.62455391
652	42.58584592
653	42.54163391
654	42.49845369
655	42.44803094
656	42.40181202
657	42.36729066
658	42.32365379
659	42.27204081
660	42.22053974
661	42.19426555
662	42.1532857
663	42.10859755
664	42.05561731
665	41.9926593
666	41.9216291
667	41.84931606
668	41.81827453
669	41.79254288
670	41.75242561
671	41.64075133
672	41.59806694
673	41.5577424
674	41.50879568
675	41.45037716
676	41.40698358
677	41.34856443
678	41.31586516
679	41.27823065
680	41.23256807
681	41.20055022
682	41.15220014
683	41.13451898
684	41.10009679
685	41.04907509
686	41.01507333
687	40.94194132
688	40.9201997
689	40.87637896
690	40.82653172
691	40.80039272
692	40.73148105
693	40.71292737
694	40.65686114
695	40.61767679
696	40.59095103
697	40.56019507
698	40.50369922
699	40.47582288
700	40.41926408
701	40.3435702
702	40.29923098
703	40.26235924
704	40.22499925
705	40.19805415
706	40.18043468
707	40.14401661
708	40.11012261
709	40.06983611
710	40.00131779
711	39.98349184
712	39.91655043
713	39.88391051
714	39.82094766
715	39.78713227
716	39.76737775
717	39.75334963
718	39.71472714
719	39.68759904
720	39.64029467
721	39.58776802
722	39.53322479
723	39.49229183
724	39.4642493
725	39.45153892
726	39.42051623
727	39.39320015
728	39.34175263
729	39.32416815
730	39.29756316
731	39.23634804
732	39.1515842
733	39.08376518
734	39.06154064
735	39.0345961
736	38.99239494
737	38.95693276
738	38.9000516
739	38.8562409
740	38.80484516
741	38.76700953
742	38.70539657
743	38.65060546
744	38.61159773
745	38.56567874
746	38.52572714
747	38.47728126
748	38.44030512
749	38.39896447
750	38.37480364
751	38.34415491
752	38.28103891
753	38.23822496
754	38.20092584
755	38.16217171
756	38.13354821
757	38.10131997
758	38.07725992
759	38.04841972
760	38.02388324
761	37.99561461
762	37.93554163
763	37.8862473
764	37.84409668
765	37.77140866
766	37.71757432
767	37.66725308
768	37.63860933
769	37.60237954
770	37.57816247
771	37.56010939
772	37.52480596
773	37.48976974
774	37.45667205
775	37.41006684
776	37.38804955
777	37.33920944
778	37.30491326
779	37.27334627
780	37.24757203
781	37.22963417
782	37.20405156
783	37.15933678
784	37.13752018
785	37.11805215
786	37.08365794
787	37.02836896
788	36.99965469
789	36.90305839
790	36.86203478
791	36.84171747
792	36.81168091
793	36.76766327
794	36.74070876
795	36.71344565
796	36.69219501
797	36.65167927
798	36.60915367
799	36.57959468
800	36.5413208
801	36.5218406
802	36.49436709
803	36.46753751
804	36.44041046
805	36.37804735
806	36.35461229
807	36.33054906
808	36.30112695
809	36.26166128
810	36.2271827
811	36.17890778
812	36.12611668
813	36.08174217
814	36.048479
815	36.02929635
816	35.98704037
817	35.95162685
818	35.91920165
819	35.88260611
820	35.82118299
821	35.80598356
822	35.7862968
823	35.75426634
824	35.71079117
825	35.68418878
826	35.65065121
827	35.60827212
828	35.57125215
829	35.54973831
830	35.51227098
831	35.49187153
832	35.4490171
833	35.43543313
834	35.39903624
835	35.38457734
836	35.34977254
837	35.30953059
838	35.29112352
839	35.27771876
840	35.23499125
841	35.2122152
842	35.19019038
843	35.16996552
844	35.13654508
845	35.09657747
846	35.07573785
847	35.04916627
848	35.02893448
849	34.98980847
850	34.95963259
851	34.92550296
852	34.89466775
853	34.87944003
854	34.86697098
855	34.84455285
856	34.82535116
857	34.8040233
858	34.76437391
859	34.71065907
860	34.69493118
861	34.67264544
862	34.65135141
863	34.60558738
864	34.57543184
865	34.55893589
866	34.54415486
867	34.50785877
868	34.48076103
869	34.43166044
870	34.38873315
871	34.3718781
872	34.34235022
873	34.32153813
874	34.30139237
875	34.26855314
876	34.24289319
877	34.21778253
878	34.17974241
879	34.14791692
880	34.11538885
881	34.07818921
882	34.03127949
883	33.99224512
884	33.97221508
885	33.9386303
886	33.92911517
887	33.90609154
888	33.87090929
889	33.84713645
890	33.82630505
891	33.79669387
892	33.76077685
893	33.73982349
894	33.70591442
895	33.67903677
896	33.65297628
897	33.62551982
898	33.60070337
899	33.58031275
900	33.53477726
901	33.49785878
902	33.48071247
903	33.46415524
904	33.41822975
905	33.38008901
906	33.36625561
907	33.33921711
908	33.32305493
909	33.30742521
910	33.29259079
911	33.26935501
912	33.24931694
913	33.2185711
914	33.18629273
915	33.16566884
916	33.14600754
917	33.12231373
918	33.09992425
919	33.08309306
920	33.05805808
921	33.0262377
922	33.00613187
923	32.97939553
924	32.95596417
925	32.92349274
926	32.89402745
927	32.88536108
928	32.84897357
929	32.79682208
930	32.78436811
931	32.75105722
932	32.71869259
933	32.68741397
934	32.66346805
935	32.64847699
936	32.62772951
937	32.60673105
938	32.5735204
939	32.5582934
940	32.53260316
941	32.51592601
942	32.49043766
943	32.45722941
944	32.43658203
945	32.41538722
946	32.3978086
947	32.37972082
948	32.34999067
949	32.32838031
950	32.3069498
951	32.28839442
952	32.25944959
953	32.22745901
954	32.20815822
955	32.18682195
956	32.13432912
957	32.08161876
958	32.06313416
959	32.0360993
960	31.99884538
961	31.96942245
962	31.9521564
963	31.91386703
964	31.88086997
965	31.84702116
966	31.81581416
967	31.77785472
968	31.74622495
969	31.73197918
970	31.70487367
971	31.68562287
972	31.67536931
973	31.64782166
974	31.62474063
975	31.60740824
976	31.56686306
977	31.53744984
978	31.52183817
979	31.49996577
980	31.48084412
981	31.43822049
982	31.41623657
983	31.40143148
984	31.36114581
985	31.33589542
986	31.31925226
987	31.3028845
988	31.27672697
989	31.26301146
990	31.23930567
991	31.21561262
992	31.18432275
993	31.14977903
994	31.13575972
995	31.11386676
996	31.10497785
997	31.06114791
998	31.03572057
999	31.0226582
