iter	Passed	Remaining
466	1988	2269
467	1993	2266
468	1997	2261
469	2002	2257
470	2006	2253
471	2010	2249
472	2014	2244
473	2018	2240
474	2022	2235
475	2026	2231
476	2031	2226
477	2035	2222
478	2039	2218
479	2043	2214
480	2048	2210
481	2052	2205
482	2057	2202
483	2061	2197
484	2065	2193
485	2069	2188
486	2074	2184
487	2078	2180
488	2082	2175
489	2086	2171
490	2090	2167
491	2094	2163
492	2100	2160
493	2106	2158
494	2111	2154
495	2116	2150
496	2121	2147
497	2126	2143
498	2131	2139
499	2136	2136
500	2140	2131
501	2144	2127
502	2148	2123
503	2153	2119
504	2158	2115
505	2163	2111
506	2168	2108
507	2173	2105
508	2184	2107
509	2189	2103
510	2195	2101
511	2200	2097
512	2205	2093
513	2211	2090
514	2215	2086
515	2220	2083
516	2225	2079
517	2232	2076
518	2236	2073
519	2243	2070
520	2248	2067
521	2253	2063
522	2259	2060
523	2263	2056
524	2268	2052
525	2273	2048
526	2278	2044
527	2283	2040
528	2288	2037
529	2293	2033
530	2298	2029
531	2302	2025
532	2307	2021
533	2313	2019
534	2318	2015
535	2326	2013
536	2331	2010
537	2337	2007
538	2343	2004
539	2348	2000
540	2353	1996
541	2359	1994
542	2367	1992
543	2373	1989
544	2379	1986
545	2391	1988
546	2400	1987
547	2411	1989
548	2426	1993
549	2440	1997
550	2446	1993
551	2450	1988
552	2454	1984
553	2459	1979
554	2463	1975
555	2468	1971
556	2473	1966
557	2477	1962
558	2481	1957
559	2486	1953
560	2491	1949
561	2495	1944
562	2500	1940
563	2504	1936
564	2508	1931
565	2512	1926
566	2517	1922
567	2522	1918
568	2526	1913
569	2530	1909
570	2535	1904
571	2539	1900
572	2543	1895
573	2548	1891
574	2553	1887
575	2557	1882
576	2561	1877
577	2566	1873
578	2570	1869
579	2574	1864
580	2578	1859
581	2582	1855
582	2587	1850
583	2591	1845
584	2595	1841
585	2599	1836
586	2604	1832
587	2608	1827
588	2614	1824
589	2618	1819
590	2622	1815
591	2627	1810
592	2631	1806
593	2635	1801
594	2640	1797
595	2644	1792
596	2649	1788
597	2654	1784
598	2659	1780
599	2663	1775
600	2668	1771
601	2675	1768
602	2679	1764
603	2684	1759
604	2689	1755
605	2693	1751
606	2698	1747
607	2704	1743
608	2709	1739
609	2713	1735
610	2718	1730
611	2723	1726
612	2728	1722
613	2733	1718
614	2739	1714
615	2743	1710
616	2747	1705
617	2752	1701
618	2757	1696
619	2761	1692
620	2765	1688
621	2770	1683
622	2774	1679
623	2779	1674
624	2784	1670
625	2788	1665
626	2793	1661
627	2800	1658
628	2808	1656
629	2814	1652
630	2818	1648
631	2822	1643
632	2828	1639
633	2833	1635
634	2838	1631
635	2842	1626
636	2848	1623
637	2852	1618
638	2856	1613
639	2861	1609
640	2865	1604
641	2869	1600
642	2874	1595
643	2879	1591
644	2885	1588
645	2889	1583
646	2894	1578
647	2898	1574
648	2902	1570
649	2907	1565
650	2913	1562
651	2923	1560
652	2928	1556
653	2933	1551
654	2938	1547
655	2945	1544
656	2949	1540
657	2954	1535
658	2958	1531
659	2963	1526
660	2967	1521
661	2971	1517
662	2975	1512
663	2979	1507
664	2984	1503
665	2988	1498
666	2993	1494
667	2997	1489
668	3001	1485
669	3007	1481
670	3012	1476
671	3016	1472
672	3020	1467
673	3025	1463
674	3030	1459
675	3041	1457
676	3046	1453
677	3053	1450
678	3058	1446
679	3070	1444
680	3075	1440
681	3082	1437
682	3093	1435
683	3102	1433
684	3107	1428
685	3114	1425
686	3121	1421
687	3126	1417
688	3131	1413
689	3136	1409
690	3141	1404
691	3147	1400
692	3154	1397
693	3160	1393
694	3166	1389
695	3173	1386
696	3199	1390
697	3207	1387
698	3213	1383
699	3224	1381
700	3233	1379
701	3239	1375
702	3246	1371
703	3252	1367
704	3258	1363
705	3264	1359
706	3270	1355
707	3275	1350
708	3280	1346
709	3287	1342
710	3299	1341
711	3310	1338
712	3319	1336
713	3327	1332
714	3340	1331
715	3347	1327
716	3360	1326
717	3382	1328
718	3403	1330
719	3424	1331
720	3450	1335
721	3475	1338
722	3483	1334
723	3498	1333
724	3506	1330
725	3520	1328
726	3530	1325
727	3536	1321
728	3543	1317
729	3549	1312
730	3554	1308
731	3568	1306
732	3578	1303
733	3585	1299
734	3611	1302
735	3617	1297
736	3633	1296
737	3654	1297
738	3661	1293
739	3669	1289
740	3685	1288
741	3694	1284
742	3700	1279
743	3704	1274
744	3715	1271
745	3720	1266
746	3725	1261
747	3747	1262
748	3754	1258
749	3764	1254
750	3770	1250
751	3774	1244
752	3779	1239
753	3783	1234
754	3788	1229
755	3792	1223
756	3796	1218
757	3800	1213
758	3806	1208
759	3811	1203
760	3818	1199
761	3823	1194
762	3827	1188
763	3836	1185
764	3844	1181
765	3854	1177
766	3865	1174
767	3875	1170
768	3895	1170
769	3900	1165
770	3907	1160
771	3913	1155
772	3917	1150
773	3922	1145
774	3928	1140
775	3934	1135
776	3938	1130
777	3943	1125
778	3949	1120
779	3954	1115
780	3959	1110
781	3967	1105
782	3974	1101
783	3993	1100
784	4000	1095
785	4004	1090
786	4010	1085
787	4014	1079
788	4018	1074
789	4024	1069
790	4029	1064
791	4033	1059
792	4037	1054
793	4042	1048
794	4046	1043
795	4050	1038
796	4057	1033
797	4061	1028
798	4065	1022
799	4070	1017
800	4074	1012
801	4078	1006
802	4082	1001
803	4087	996
804	4091	991
805	4095	985
806	4099	980
807	4103	975
808	4107	969
809	4111	964
810	4116	959
811	4120	954
812	4124	948
813	4129	943
814	4133	938
815	4137	933
816	4141	927
817	4146	922
818	4150	917
819	4154	912
820	4159	906
821	4162	901
822	4167	896
823	4171	891
824	4175	885
825	4180	880
826	4184	875
827	4188	870
828	4193	864
829	4197	859
830	4201	854
831	4205	849
832	4212	844
833	4221	840
834	4226	835
835	4231	830
836	4235	824
837	4240	819
838	4244	814
839	4248	809
840	4252	804
841	4256	798
842	4261	793
843	4265	788
844	4269	783
845	4273	777
846	4278	772
847	4282	767
848	4286	762
849	4290	757
850	4295	752
851	4299	746
852	4303	741
853	4310	736
854	4315	731
855	4321	726
856	4329	722
857	4341	718
858	4349	713
859	4357	709
860	4364	704
861	4372	700
862	4378	695
863	4383	689
864	4389	685
865	4402	681
866	4409	676
867	4413	671
868	4417	665
869	4422	660
870	4426	655
871	4430	650
872	4434	645
873	4439	639
874	4443	634
875	4447	629
876	4452	624
877	4456	619
878	4460	614
879	4464	608
880	4469	603
881	4473	598
882	4477	593
883	4481	588
884	4487	583
885	4493	578
886	4499	573
887	4504	568
888	4508	562
889	4513	557
890	4521	553
891	4524	547
892	4530	542
893	4534	537
894	4538	532
895	4543	527
896	4548	522
897	4552	517
898	4556	511
899	4564	507
900	4570	502
901	4577	497
902	4581	492
903	4585	486
904	4589	481
905	4594	476
906	4598	471
907	4602	466
908	4607	461
909	4612	456
910	4617	451
911	4622	445
912	4627	440
913	4631	435
914	4636	430
915	4641	425
916	4645	420
917	4650	415
918	4657	410
919	4662	405
920	4667	400
921	4672	395
922	4678	390
923	4683	385
924	4689	380
925	4698	375
926	4704	370
927	4708	365
928	4712	360
929	4717	355
930	4721	349
931	4725	344
932	4728	339
933	4732	334
934	4736	329
935	4740	324
936	4744	318
937	4747	313
938	4752	308
939	4756	303
940	4760	298
941	4764	293
942	4769	288
943	4773	283
944	4776	278
945	4780	272
946	4785	267
947	4789	262
948	4793	257
949	4797	252
950	4801	247
951	4805	242
952	4812	237
953	4821	232
954	4825	227
955	4836	222
956	4842	217
957	4849	212
958	4854	207
959	4859	202
960	4865	197
961	4870	192
962	4876	187
963	4881	182
964	4885	177
965	4889	172
966	4894	167
967	4898	161
968	4902	156
969	4906	151
970	4911	146
971	4915	141
972	4919	136
973	4925	131
974	4931	126
975	4937	121
976	4943	116
977	4952	111
978	4959	106
979	4963	101
980	4967	96
981	4974	91
982	4979	86
983	4983	81
984	4987	75
985	4994	70
986	4999	65
987	5004	60
988	5009	55
989	5014	50
990	5018	45
991	5023	40
992	5028	35
993	5032	30
994	5036	25
995	5040	20
996	5044	15
997	5049	10
998	5053	5
999	5057	0
